Year,CHIRPS_Precipitation,Region
2018,1052.2370785474777,Nueva Segovia
2019,778.7944796979427,Nueva Segovia
2020,2224.626070857048,Nueva Segovia
2021,877.1194237470627,Nueva Segovia
2022,1158.9432389736176,Nueva Segovia
2023,1077.2209664583206,Nueva Segovia
2024,1346.8063577036373,Nueva Segovia
2000,790.7096507549286,Nyandarua
2001,1270.875655889511,Nyandarua
2002,1328.945380270481,Nyandarua
2003,1352.8787957429886,Nyandarua
2004,1135.8356580734253,Nyandarua
2005,1024.024180650711,Nyandarua
2006,1358.9485597610474,Nyandarua
2007,1254.0719364881516,Nyandarua
2008,978.9660153388977,Nyandarua
2009,960.8665877580643,Nyandarua
2010,1500.6229343414307,Nyandarua
2011,1439.1195847988129,Nyandarua
2012,1528.4899343252182,Nyandarua
2013,1397.6447758674622,Nyandarua
2014,1150.4554809331894,Nyandarua
2015,1188.1230333447456,Nyandarua
2016,1116.271134853363,Nyandarua
2017,1032.9427387714386,Nyandarua
2018,2040.7620388418436,Nyandarua
2019,1404.650784522295,Nyandarua
2020,1707.2965082526207,Nyandarua
2021,1139.820105433464,Nyandarua
2022,957.5221569091082,Nyandarua
2023,1179.072837471962,Nyandarua
2024,1650.6322374790907,Nyandarua
2000,1614.2195522785187,Roi Et
2001,1422.7661207020283,Roi Et
2002,1609.3440844416618,Roi Et
2003,1381.5467714071274,Roi Et
2004,1531.4132750034332,Roi Et
2005,1604.671596467495,Roi Et
2006,1574.5691519081593,Roi Et
2007,1698.184686690569,Roi Et
2008,1677.6860247850418,Roi Et
2009,1469.8029282689095,Roi Et
2010,1452.7142038941383,Roi Et
2011,1774.4935356378555,Roi Et
2012,1363.8152244985104,Roi Et
2013,1518.2491167783737,Roi Et
2014,1454.150961458683,Roi Et
2015,1263.180562108755,Roi Et
2016,1437.3828056454659,Roi Et
2017,1877.8009671270847,Roi Et
2018,1336.5711866021156,Roi Et
2019,1524.1395719548455,Roi Et
2020,1395.2375786041375,Roi Et
2021,1352.8041075766087,Roi Et
2022,1802.5552686575393,Roi Et
2023,1324.123379200697,Roi Et
2024,1165.368018256966,Roi Et
2000,3302.8286547660828,Kon Tum
2001,2694.3802802562714,Kon Tum
2002,3327.8259024620056,Kon Tum
2003,2492.5659244060516,Kon Tum
2004,2765.3749582767487,Kon Tum
2005,2435.4505047798157,Kon Tum
2006,2820.966260910034,Kon Tum
2007,3006.27929019928,Kon Tum
2008,2885.758727312088,Kon Tum
2009,3593.6528918743134,Kon Tum
2010,3659.8311372995377,Kon Tum
2011,3313.7951712608337,Kon Tum
2012,2575.6006284952164,Kon Tum
2013,3124.423538684845,Kon Tum
2014,2497.1161584854126,Kon Tum
2015,2449.7695240974426,Kon Tum
2016,3113.025881290436,Kon Tum
2017,2946.5727635622025,Kon Tum
2018,2486.7996515410487,Kon Tum
2019,2106.171012684703,Kon Tum
2020,3136.0299956798553,Kon Tum
2021,2656.6896374225616,Kon Tum
